District,rural/urban,Male,Female,Total,Households,Area_in_Sq_Km,_Household_Density_,Population_Density,Gender_Index,County,Location,Location_1,Province,OBJECTID
MACHAKOS,Rural,71438,78058,149496,33559,564.55,59.440000,78184.539720,1.092668,EASTERN,"MACHAKOS, EASTERN Kenya
",,37.16409824,54
MWALA,Rural,76334,81342,157676,33760,1014.01,33.290000,81417.279340,1.065606,EASTERN,"MWALA, EASTERN Kenya
",,37.52391049,55
YATTA,Rural,106094,113963,220057,46905,2214.83,21.180000,114010.901600,1.074170,EASTERN,"YATTA, EASTERN Kenya
",,37.60220541,56
KANGUNDO,Rural,0,0,0,0,0,,,,EASTERN,"KANGUNDO, EASTERN Kenya
",,37.27203719,57
MAKUENI,Rural,87571,96177,183748,36541,1249.27,29.250000,96247.097740,1.098275,EASTERN,"MAKUENI, EASTERN Kenya
",,37.67253055,58
MBOONI,Rural,83997,92292,176289,36765,892.62,41.190000,92386.101630,1.098754,EASTERN,"MBOONI, EASTERN Kenya
",,37.60666503,59
KIBWEZI,Rural,111813,114038,225851,45843,3894.48,11.770000,114066.710600,1.019899,EASTERN,"KIBWEZI, EASTERN Kenya
",,38.02538524,60
NZAUI,Rural,94961,99381,194342,40654,1378.37,29.490000,99449.893690,1.046545,EASTERN,"NZAUI, EASTERN Kenya
",,37.41612392,61
GARISSA,Rural,40733,32376,73109,11189,4901.58,2.280000,32384.310180,0.794835,NORTH EASTERN,"GARISSA, NORTH EASTERN Kenya
",,39.56855753,62
LAGDERA,Rural,126612,106205,232817,35534,13285.02,2.670000,106214.530400,0.838823,NORTH EASTERN,"LAGDERA, NORTH EASTERN Kenya
",,39.89717479,63
FAFI,Rural,49621,44099,93720,15583,15419.55,1.010000,44102.218060,0.888716,NORTH EASTERN,"FAFI, NORTH EASTERN Kenya
",,40.43908059,64
IJARA,Rural,41782,34964,76746,10701,9778.17,1.090000,34968.272990,0.836820,NORTH EASTERN,"IJARA, NORTH EASTERN Kenya
",,40.73455516,65
WAJIR SOUTH,Rural,66842,54728,121570,17030,21540.15,0.790000,54731.103140,0.818767,NORTH EASTERN,"WAJIR SOUTH, NORTH EASTERN Kenya
",,40.34314459,66
WAJIR NORTH,Rural,73628,61877,135505,17592,8554.59,2.060000,61885.606840,0.840400,NORTH EASTERN,"WAJIR NORTH, NORTH EASTERN Kenya
",,39.5873795,67
WAJIR EAST,Rural,78399,63219,141618,18414,13307.77,1.380000,63224.891220,0.806375,NORTH EASTERN,"WAJIR EAST, NORTH EASTERN Kenya
",,40.36685178,68
WAJIR WEST,Rural,93597,72796,166393,20716,13067.21,1.590000,72803.162740,0.777760,NORTH EASTERN,"WAJIR WEST, NORTH EASTERN Kenya
",,39.5240015,69
MANDERA CENTRAL,Rural,184891,158652,343543,42017,11606.68,3.620000,158667.929700,0.858084,NORTH EASTERN,"MANDERA CENTRAL, NORTH EASTERN Kenya
",,40.72748791,70
MANDERA EAST,Rural,113535,87460,200995,25892,6069.16,4.270000,87478.706870,0.770335,NORTH EASTERN,"MANDERA EAST, NORTH EASTERN Kenya
",,41.29294811,71
MANDERA WEST,Rural,161628,134022,295650,34273,8120.05,4.220000,134041.904800,0.829200,NORTH EASTERN,"MANDERA WEST, NORTH EASTERN Kenya
",,40.2334622,72
SIAYA,Rural,238253,271416,509669,120471,1504.63,80.070000,271574.346600,1.139192,NYANZA,"SIAYA, NYANZA Kenya
",,34.3043068,73
BONDO,Rural,53823,56643,110466,26023,497.69,52.290000,56751.145630,1.052394,NYANZA,"BONDO, NYANZA Kenya
",,34.19064437,74
RARIEDA,Rural,63020,68522,131542,30178,400.42,75.370000,68679.384750,1.087306,NYANZA,"RARIEDA, NYANZA Kenya
",,34.33792037,75
KISUMU EAST,Rural,41091,42394,83485,18041,284.35,63.450000,42538.508530,1.031710,NYANZA,"KISUMU EAST, NYANZA Kenya
",,34.80473358,76
KISUMU WEST,Rural,65384,72591,137975,31608,352.23,89.740000,72776.628710,1.110226,NYANZA,"KISUMU WEST, NYANZA Kenya
",,34.53285818,77
NYANDO,Rural,115314,124415,239729,52448,847.6,61.880000,124551.047700,1.078924,NYANZA,"NYANDO, NYANZA Kenya
",,35.02991504,78
HOMA BAY,Rural,145981,161346,307327,65649,1067.59,61.490000,161482.738800,1.105253,NYANZA,"HOMA BAY, NYANZA Kenya
",,34.44445584,79
SUBA,Rural,96328,99785,196113,40405,1057.37,38.210000,99876.101510,1.035888,NYANZA,"SUBA, NYANZA Kenya
",,34.20665004,80
