Urban_centre,Total_population,Core_urban_population,Peri_urban_population,Sex_ratio,co-ordinates,OBJECTID
Majengo,7396,7396,0,99,"(-1.874560695, 40.729995590000001)",84
Makindu,8503,7766,737,86,"(-2.263805971, 37.825953589999997)",85
Makuyu,47452,6955,40497,99,"(-0.88942170300000001, 37.186287710000002)",86
Malaba,20623,15626,4997,91,"(0.64862929599999997, 34.27891168)",87
Malindi,115882,82747,33135,99,"(-3.1833985939999998, 40.114719450000003)",88
Mandera,87150,57186,29964,110,"(3.9287115610000001, 41.866247979999997)",89
Maragwa,25081,4263,20818,95,"(-0.790646933, 37.129400400000002)",90
Maralal,15213,15213,0,95,"(1.0970306219999999, 36.69866236)",91
Marereni,6252,6252,0,92,"(-2.8571835000000001, 40.149039899999998)",92
Mariakani,30671,30671,0,99,"(-3.82968413, 39.475405969999997)",93
Marigat,6764,6764,0,97,"(0.47120889999999999, 35.976534899999997)",94
Marimanti,8535,1638,6897,97,"(-0.1558254, 37.957881399999998)",95
Marsabit,14474,14474,0,99,"(2.3457308509999999, 37.988703659999999)",96
Masalani,13900,13900,0,110,"(-1.6974773000000001, 40.117942300000003)",97
