,address,cars,bluecar_counter,utilib_counter,utilib_1.4_counter,charge_slots,charging_status,city,id,kind,geo_point,postal_code,public_name,rental_status,slots,station_type,year,month,day,hour,minute
3166,40 rue du docteur variot,4,4,0,0,0,nonexistent,rosny-sous-bois,rosnysousbois-variot-40,station,"48.8798646, 2.4931178",93110,rosny-sous-bois/variot/40,operational,2,station,2018,4,4,3,40
3167,1 place georges pompidou,4,4,0,0,0,nonexistent,levallois-perret,levalloisperret-pompidou-parking,parking,"48.89851, 2.28102",92300,levallois-perret/pompidou/parking,operational,0,station,2018,4,3,4,23
3168,118 avenue du gã©nã©ral de gaulle,5,5,0,0,0,nonexistent,clamart,clamart-generaldegaulle-118,station,"48.7905884, 2.2639525",92140,clamart/de gaulle/118,operational,0,station,2018,4,6,10,28
3169,12 rue denfert rochereau,2,2,0,0,0,nonexistent,crã©teil,creteil-denfertrochereau-12,station,"48.7912032, 2.4504989",94000,crã©teil/denfert rochereau/12,operational,1,station,2018,4,9,0,29
3170,41 avenue bosquet,0,0,0,0,1,operational,paris,paris-bosquet-41,station,"48.8580816, 2.3040495",75007,paris/bosquet/41,operational,5,station,2018,4,9,2,12
3171,9 rue renã© sahors,3,3,0,0,0,nonexistent,vanves,vanves-renesahors-9,station,"48.82097, 2.29165",92170,vanves/renã© sahors/9,operational,3,station,2018,4,8,10,16
3172,44 rue de champ chardon,6,6,0,0,0,nonexistent,issy-les-moulineaux,issylesmoulineaux-champchardon-44,station,"48.821914, 2.252089",92130,issy-les-moulineaux/champ chardon/44,operational,0,station,2018,4,8,22,11
3173,2 rue des couronnes,3,3,0,0,0,nonexistent,paris,paris-couronnes-2,station,"48.8691502, 2.3808934",75020,paris/couronnes/2,operational,0,station,2018,4,5,17,32
3174,12 rue milton,0,0,0,0,2,operational,paris,paris-milton-12,station,"48.8777212, 2.3409177",75009,paris/milton/12,operational,5,station,2018,4,8,2,58
3175,60 avenue victor hugo,1,1,0,0,0,operational,paris,paris-victorhugo-60,space,"48.870343, 2.286851",75016,paris/victor hugo/60,operational,3,full_station,2018,4,3,3,9
3176,122 boulevard jean jaureìs,4,4,0,0,0,nonexistent,clichy-la-garenne,clichylagarenne-jeanjaures-122,station,"48.9057159, 2.301558",92210,clichy-la-garenne/jean jaureìs/122,operational,2,station,2018,4,5,13,31
3177,172 boulevard diderot,0,0,0,0,1,operational,paris,paris-diderot-172,space,"48.8480068, 2.3940643",75012,paris/diderot/172,operational,5,full_station,2018,4,8,13,59
3178,21 rue de l'ecole de medecine,0,0,0,0,0,nonexistent,paris,paris-ecoledemedecine-21,parking,"48.8505961, 2.3406066",75006,paris/ecole de medecine/21,future,0,station,2018,4,4,20,9
3179,147 rue de paris,1,1,0,0,0,nonexistent,charenton-le-pont,charentonlepont-paris-147,station,"48.82687, 2.405368",94220,charenton-le-pont/paris/147,operational,2,station,2018,4,6,15,33
3180,3 rue de bã©rite,0,0,0,0,0,nonexistent,paris,paris-berite-3,station,"48.847875, 2.3239783",75006,paris/bã©rite/3,operational,3,station,2018,4,8,23,45
3181,69 rue de courcelles,1,1,0,0,0,operational,paris,paris-courcelles-69,station,"48.878351, 2.3044935",75008,paris/courcelles/69,operational,0,station,2018,4,9,16,37
3182,82 rue de crimã©e,4,4,0,1,0,operational,paris,paris-crimee-82,station,"48.882362, 2.386574",75019,paris/crimã©e/82,operational,1,station,2018,4,2,6,34
3183,117 rue de lagny,3,3,0,0,0,operational,paris,paris-lagny-117,station,"48.8491535, 2.4133021",75020,paris/lagny/117,operational,0,station,2018,4,5,18,6
3184,3 rue jean veber,3,3,0,0,0,operational,paris,paris-jeanveber-3,station,"48.8624944, 2.4096676",75020,paris/jean veber/3,operational,1,station,2018,4,4,15,43
3185,11 rue franã§ois de neufchateau,5,5,0,0,0,operational,paris,paris-francoisdeneufchateau-11,station,"48.8561529, 2.3825248",75011,paris/franã§ois de neufchateau/11,operational,1,station,2018,4,3,2,35
3186,4 rue charles bossut,0,0,0,0,1,operational,paris,paris-charlesbossut-4,station,"48.8431847, 2.3837959",75012,paris/charles bossut/4,operational,4,station,2018,4,7,3,14
3187,2 rue du buisson saint louis,5,5,0,0,0,operational,paris,paris-buissonsaintlouis-2,station,"48.87179, 2.372482",75010,paris/buisson saint louis/2,operational,0,station,2018,4,3,6,5
3188,6 rue adolphe yvon,4,4,0,0,1,operational,paris,paris-adolpheyvon-6,station,"48.8644046, 2.2710381",75016,paris/adolphe yvon/6,operational,2,station,2018,4,4,21,47
